#pixelIndex	x	y	bupId	age	sex	instigator
0	0	0	19243	39	2	3
1	1	0	6712	61	2	2
2	2	0	357	57	2	2
3	3	0	10099	47	2	2
4	4	0	4327	46	2	2
5	5	0	10272	46	2	2
6	6	0	168	40	2	2
7	7	0	16440	37	2	2
8	8	0	171	35	2	2
9	9	0	8639	34	2	2
10	10	0	17400	32	2	2
11	11	0	19756	31	2	2
12	12	0	815	31	2	2
13	13	0	16724	30	2	2
14	14	0	8585	30	2	2
15	15	0	4368	29	2	2
16	16	0	16292	50	2	1
17	17	0	11650	36	2	1
18	18	0	3038	33	2	1
19	19	0	2072	33	2	1
20	20	0	5154	32	2	1
21	21	0	3101	30	2	1
22	22	0	5497	31	2	0
23	23	0	3358	31	2	0
24	24	0	1437	31	2	0
25	25	0	6350	30	2	0
26	26	0	15985	57	1	3
27	27	0	8062	54	1	3
28	28	0	4579	32	1	3
29	29	0	11717	29	1	3
30	30	0	165	61	1	2
31	31	0	671	57	1	2
32	32	0	2413	50	1	2
33	33	0	15973	41	1	2
34	34	0	422	40	1	2
35	35	0	169	40	1	2
36	36	0	2608	40	1	2
37	37	0	9487	39	1	2
38	38	0	8320	38	1	2
39	39	0	547	37	1	2
40	40	0	2589	37	1	2
41	41	0	352	37	1	2
42	42	0	18348	37	1	2
43	43	0	3325	36	1	2
44	44	0	14360	34	1	2
45	45	0	20007	34	1	2
46	46	0	4789	33	1	2
47	47	0	93	31	1	2
48	48	0	3481	31	1	2
49	49	0	5499	31	1	2
50	50	0	18499	31	1	2
51	51	0	1768	30	1	2
52	52	0	2008	33	1	2
53	53	0	3260	29	1	2
54	54	0	5415	29	1	2
55	55	0	12570	58	1	1
56	56	0	17323	60	1	1
57	57	0	9414	50	1	1
58	58	0	16954	45	1	1
59	59	0	1030	41	1	1
60	60	0	13422	41	1	1
61	61	0	5194	36	1	1
62	62	0	5428	36	1	1
63	63	0	1166	50	1	1
64	64	0	1022	33	1	1
65	65	0	990	33	1	1
66	66	0	8776	32	1	1
67	67	0	3743	30	1	1
68	68	0	16782	60	1	0
69	69	0	15301	49	1	0
70	70	0	12207	43	1	0
71	71	0	12344	43	1	0
72	72	0	16836	43	1	0
73	73	0	15745	37	1	0
74	74	0	6887	37	1	0
75	75	0	13909	37	1	0
76	76	0	12422	36	1	0
77	77	0	9033	33	1	0
78	78	0	3184	32	1	0
79	79	0	17706	31	1	0
80	80	0	3857	31	1	0
81	81	0	5139	31	1	0
82	82	0	5138	31	1	0
83	83	0	5742	30	0	3
84	84	0	2832	38	0	2
85	85	0	2831	38	0	2
86	86	0	846	33	0	2
87	87	0	254	33	0	2
88	88	0	2800	32	0	2
89	89	0	4855	31	0	2
90	90	0	332	31	0	2
91	91	0	855	33	0	1
92	92	0	4594	29	0	1
93	93	0	14129	34	0	0
94	94	0	3045	33	0	0
95	95	0	5618	32	0	0
96	96	0	4182	31	0	0
97	97	0	4815	31	0	0
98	98	0	2813	30	0	0
99	99	0	3324	29	0	0
100	0	1	481	28	2	2
101	1	1	5204	28	2	2
102	2	1	200	28	2	2
103	3	1	2784	27	2	2
104	4	1	11743	27	2	2
105	5	1	31	27	2	2
106	6	1	11655	27	2	2
107	7	1	19810	29	2	1
108	8	1	10062	28	2	1
109	9	1	11742	27	2	1
110	10	1	9039	27	2	1
111	11	1	11741	27	2	1
112	12	1	8711	27	2	1
113	13	1	17785	26	2	1
114	14	1	8287	29	2	0
115	15	1	3639	28	2	0
116	16	1	10987	27	2	0
117	17	1	3111	26	2	0
118	18	1	2347	26	2	0
119	19	1	18113	29	1	2
120	20	1	2652	28	1	2
121	21	1	6166	28	1	2
122	22	1	5390	28	1	2
123	23	1	14018	28	1	2
124	24	1	5253	27	1	2
125	25	1	113	27	1	2
126	26	1	5700	27	1	2
